
Iniciando Entrenamiento del Modelo Tradicional...
Epoch 93/150 | Train Loss: 0.3538 | Val Loss: 3.9019 | Val Acc: 81.42%
Epoch 94/150 | Train Loss: 0.3239 | Val Loss: 3.9158 | Val Acc: 81.42%
Epoch 95/150 | Train Loss: 0.3449 | Val Loss: 3.9249 | Val Acc: 81.42%
Epoch 96/150 | Train Loss: 0.3454 | Val Loss: 3.7566 | Val Acc: 80.97%
Epoch 97/150 | Train Loss: 0.3620 | Val Loss: 3.8469 | Val Acc: 81.42%
Epoch 98/150 | Train Loss: 0.3252 | Val Loss: 3.8205 | Val Acc: 82.30%
Epoch 99/150 | Train Loss: 0.3189 | Val Loss: 3.8499 | Val Acc: 81.86%
Epoch 100/150 | Train Loss: 0.3413 | Val Loss: 3.8670 | Val Acc: 80.97%
Epoch 101/150 | Train Loss: 0.3223 | Val Loss: 3.6957 | Val Acc: 81.42%
Epoch 102/150 | Train Loss: 0.3363 | Val Loss: 3.8335 | Val Acc: 81.42%
Epoch 103/150 | Train Loss: 0.3383 | Val Loss: 3.9312 | Val Acc: 81.86%
Epoch 104/150 | Train Loss: 0.3246 | Val Loss: 3.8468 | Val Acc: 81.86%
Epoch 105/150 | Train Loss: 0.3452 | Val Loss: 3.7725 | Val Acc: 81.86%
Epoch 106/150 | Train Loss: 0.3397 | Val Loss: 3.7601 | Val Acc: 81.42%
Epoch 107/150 | Train Loss: 0.3302 | Val Loss: 3.7833 | Val Acc: 81.42%
Epoch 108/150 | Train Loss: 0.3293 | Val Loss: 3.8913 | Val Acc: 81.86%
Epoch 109/150 | Train Loss: 0.3106 | Val Loss: 3.8411 | Val Acc: 81.42%
Epoch 110/150 | Train Loss: 0.3372 | Val Loss: 3.7936 | Val Acc: 81.86%
Epoch 111/150 | Train Loss: 0.3351 | Val Loss: 3.8900 | Val Acc: 82.30%
Epoch 112/150 | Train Loss: 0.3794 | Val Loss: 3.8502 | Val Acc: 81.42%
Epoch 113/150 | Train Loss: 0.3602 | Val Loss: 3.7774 | Val Acc: 81.42%
Epoch 114/150 | Train Loss: 0.3730 | Val Loss: 3.8215 | Val Acc: 81.42%
Epoch 115/150 | Train Loss: 0.3210 | Val Loss: 3.7650 | Val Acc: 81.42%
Epoch 116/150 | Train Loss: 0.3688 | Val Loss: 3.8547 | Val Acc: 81.42%
Epoch 117/150 | Train Loss: 0.3128 | Val Loss: 3.7350 | Val Acc: 80.97%
Epoch 118/150 | Train Loss: 0.3603 | Val Loss: 3.9149 | Val Acc: 82.30%
Epoch 119/150 | Train Loss: 0.3174 | Val Loss: 3.7940 | Val Acc: 80.97%
Epoch 120/150 | Train Loss: 0.3375 | Val Loss: 3.7897 | Val Acc: 80.53%
Epoch 121/150 | Train Loss: 0.3497 | Val Loss: 3.8109 | Val Acc: 81.86%
Epoch 122/150 | Train Loss: 0.3040 | Val Loss: 3.8142 | Val Acc: 82.30%
Epoch 123/150 | Train Loss: 0.3652 | Val Loss: 3.7865 | Val Acc: 81.86%
Epoch 124/150 | Train Loss: 0.3541 | Val Loss: 3.8320 | Val Acc: 81.42%
Epoch 125/150 | Train Loss: 0.3330 | Val Loss: 3.7874 | Val Acc: 80.53%
Epoch 126/150 | Train Loss: 0.3343 | Val Loss: 3.8248 | Val Acc: 81.42%
Epoch 127/150 | Train Loss: 0.3104 | Val Loss: 3.8392 | Val Acc: 80.97%
Epoch 128/150 | Train Loss: 0.3913 | Val Loss: 3.8324 | Val Acc: 81.42%
Epoch 129/150 | Train Loss: 0.3354 | Val Loss: 3.8674 | Val Acc: 81.42%
Epoch 130/150 | Train Loss: 0.3378 | Val Loss: 3.7975 | Val Acc: 80.97%
Epoch 131/150 | Train Loss: 0.3056 | Val Loss: 3.8309 | Val Acc: 81.86%
Epoch 132/150 | Train Loss: 0.3614 | Val Loss: 3.9149 | Val Acc: 81.86%
Epoch 133/150 | Train Loss: 0.3436 | Val Loss: 3.8187 | Val Acc: 81.86%
Epoch 134/150 | Train Loss: 0.3358 | Val Loss: 3.9007 | Val Acc: 81.86%
Epoch 135/150 | Train Loss: 0.3231 | Val Loss: 3.8308 | Val Acc: 81.42%
Epoch 136/150 | Train Loss: 0.2985 | Val Loss: 3.8103 | Val Acc: 81.86%
Epoch 137/150 | Train Loss: 0.3273 | Val Loss: 3.8456 | Val Acc: 81.42%
Epoch 138/150 | Train Loss: 0.3772 | Val Loss: 3.7967 | Val Acc: 80.97%
Epoch 139/150 | Train Loss: 0.3218 | Val Loss: 3.8385 | Val Acc: 82.74%
Epoch 140/150 | Train Loss: 0.3334 | Val Loss: 3.8735 | Val Acc: 81.42%
Epoch 141/150 | Train Loss: 0.3470 | Val Loss: 3.8209 | Val Acc: 81.42%
Epoch 142/150 | Train Loss: 0.3192 | Val Loss: 3.8024 | Val Acc: 80.97%
Epoch 143/150 | Train Loss: 0.3306 | Val Loss: 3.7504 | Val Acc: 81.42%
Epoch 144/150 | Train Loss: 0.3356 | Val Loss: 3.7815 | Val Acc: 81.86%
Epoch 145/150 | Train Loss: 0.3472 | Val Loss: 3.7638 | Val Acc: 81.86%
Epoch 146/150 | Train Loss: 0.3577 | Val Loss: 3.8016 | Val Acc: 82.30%
Epoch 147/150 | Train Loss: 0.3591 | Val Loss: 3.7828 | Val Acc: 80.97%
Epoch 148/150 | Train Loss: 0.3382 | Val Loss: 3.8755 | Val Acc: 81.42%
Epoch 149/150 | Train Loss: 0.3267 | Val Loss: 3.7619 | Val Acc: 80.97%
Epoch 150/150 | Train Loss: 0.2871 | Val Loss: 3.8650 | Val Acc: 81.42%
[34m[1mwandb[0m: [32m[41mERROR[0m The nbformat package was not found. It is required to save notebook history.
